gene,logFC,PValue,FDR
0610007P14Rik,0.151527738246618,0.28391486770411,1
0610009B22Rik,0.0304329280275416,0.874168135497414,1
0610009L18Rik,0.152982349986495,0.690698069218531,1
0610009O20Rik,0.0573028963463308,0.612616537920458,1
0610010F05Rik,-0.208384447074061,0.298287112878082,1
0610010K14Rik,0.227351434655222,0.261288576152777,1
0610011F06Rik,0.0477056196208109,0.804084937203686,1
0610012G03Rik,0.140384738591587,0.43051139192118,1
0610030E20Rik,0.059988067041046,0.613740491261015,1
0610037L13Rik,0.130623725019483,0.348410864313733,1
0610040J01Rik,-0.44589932947905,0.272428993379991,1
1110001J03Rik,0.198020756165486,0.479480860381401,1
1110002E22Rik,-0.409693489910407,0.559104610370594,1
1110004E09Rik,0.185868517594768,0.275835155011391,1
1110004F10Rik,0.124815572210942,0.26486040243647,1
1110008F13Rik,-0.00891952275655583,0.956424445675041,1
1110008L16Rik,0.0628164286660481,0.708394886027602,1
1110008P14Rik,0.410612378520423,0.0800369811499103,1
1110012L19Rik,0.228401730191663,0.245494547833774,1
1110017D15Rik,0.528280298637227,0.459213943021742,1
1110032A03Rik,0.017226455473831,0.92364457240944,1
1110032F04Rik,-0.192545139117348,0.617425787629279,1
1110034G24Rik,0.296728754278534,0.273266309203373,1
1110037F02Rik,-0.0616808902215043,0.538039563120948,1
1110038F14Rik,0.223629448676367,0.0611595656318875,1
1110051M20Rik,0.178702476917773,0.235608014606407,1
1110059E24Rik,0.045947505647804,0.715539373631121,1
1110059G10Rik,0.0705708398746777,0.679164182256385,1
1110065P20Rik,0.114381712259569,0.565758620305713,1
1190002N15Rik,-0.0137539674640934,0.91710862021948,1
1190005I06Rik,0.476780370302835,0.326403816619896,1
1190007I07Rik,0.172421716828132,0.732461922857187,1
1300017J02Rik,-0.458409922328318,0.792884350168318,1
1500009L16Rik,0.196155935006812,0.433429866637507,1
1500011B03Rik,-0.109053059700202,0.61014830085461,1
1500011K16Rik,0.321382667091529,0.321185215515572,1
1500015O10Rik,1.10500529802988,0.0925928823187948,1
1520401A03Rik,-0.430001156956517,0.631759132448738,1
1600002H07Rik,0.117691035911602,0.5152329779187,1
1600002K03Rik,0.354953322788127,0.409110172812565,1
1600012H06Rik,-0.0228042851902631,0.854486991348129,1
1600014C10Rik,-0.0598327921395377,0.746707503948861,1
1700001K19Rik,-0.0387048721558227,0.975650043934002,1
1700001L19Rik,0.159725563992267,0.791867151724466,1
1700001O22Rik,-0.126616696090649,0.796501366454287,1
1700003E16Rik,0.148091153800595,0.692641747653704,1
1700007G11Rik,-0.21339087276508,0.728808170528845,1
1700007K13Rik,-0.33405074620386,0.526982138235155,1
1700008O03Rik,-0.848647560786647,0.402092201531153,1
1700010I14Rik,0.177117930780902,0.679851673324836,1
1700015E13Rik,-1.01821075723971,0.334131153134935,1
1700016H13Rik,0.680077312851703,0.201039424903754,1
1700016K19Rik,0.131840083151194,0.802691090498517,1
1700017B05Rik,-0.0267677285819611,0.87852099057275,1
1700019D03Rik,-0.326351543972576,0.399215517407501,1
1700019G17Rik,-0.0128708573031049,0.970454683811443,1
1700020D05Rik,-0.613783394046328,0.350878581842385,1
1700020L24Rik,-0.263346584088285,0.731025126217924,1
1700021F05Rik,0.103486966652959,0.565833960879035,1
1700022I11Rik,-0.0464956705370597,0.945460976203664,1
1700023F06Rik,0.377311602875805,0.465987628722793,1
1700025G04Rik,-0.0647949967652731,0.55673044118308,1
1700026L06Rik,-0.70049559227539,0.300369052459201,1
1700028J19Rik,-0.213534424083332,0.783437438327069,1
1700028K03Rik,1.18328616406476,0.275824728339527,1
1700028P14Rik,-0.590599486643615,0.481844042387303,1
1700029I15Rik,-0.0565734161041533,0.903796952981322,1
1700029J07Rik,-0.0685107476663197,0.851090159328167,1
1700030J22Rik,-0.108254031971337,0.780597325678661,1
1700030K09Rik,0.265023068260949,0.156812330423143,1
1700037C18Rik,0.0938636247564648,0.789012850863218,1
1700037H04Rik,0.133341648973016,0.390200595630351,1
1700040L02Rik,-0.2193161175082,0.710396391747653,1
1700047I17Rik2,-0.0909216697989002,0.71684750282986,1
1700048O20Rik,0.0384426855996409,0.890395789710011,1
1700049G17Rik,-0.111387205259535,0.518147540169627,1
1700056E22Rik,0.0365885897680996,0.962455245667751,1
1700061G19Rik,0.0207605431016627,0.980318821472542,1
1700066M21Rik,0.142800347795347,0.464285746765503,1
1700067K01Rik,-0.344662069612162,0.608924279294165,1
1700088E04Rik,0.193846659501538,0.660586173104659,1
1700092M07Rik,0.39179945411792,0.572148545665336,1
1700102P08Rik,-0.483317154571925,0.366239689399144,1
1700109H08Rik,-0.672300543204899,0.0461198680386415,1
1700112E06Rik,0.0547624874267035,0.969892580821552,1
1700123O20Rik,0.0751380603700344,0.595939148179566,1
1810009A15Rik,0.270798604698431,0.184323657761533,1
1810011O10Rik,0.109119542123925,0.381833444044527,1
1810013L24Rik,-0.0059936451255294,0.962359699164347,1
1810022K09Rik,0.234917100661294,0.159783443680021,1
1810024B03Rik,0.463195678315985,0.212778897382138,1
1810026J23Rik,0.0654228360681798,0.541576763653535,1
1810030O07Rik,0.00683643252999695,0.953752737430569,1
1810032O08Rik,0.0767661312791004,0.76220134353889,1
1810037I17Rik,0.114696735571328,0.373549153592271,1
1810041L15Rik,-1.49810110963268,0.0211623695196345,1
1810043G02Rik,0.191247311623132,0.363081549413601,1
1810043H04Rik,0.135502723850163,0.578827033911359,1
1810049J17Rik,0.0768776584950182,0.888138285749838,1
1810055G02Rik,0.0709608299181846,0.66711078154199,1
1810062G17Rik,-0.103569647688931,0.885809493213654,1
2010107E04Rik,0.181485061433464,0.400016931659469,1
2010107G12Rik,0.360684813534044,0.516352056104663,1
2010107G23Rik,0.141917599631128,0.509940327164937,1
2010109A12Rik,-0.400887379980736,0.709413998142636,1
2010111I01Rik,0.0221795695311136,0.872161334641655,1
2010300C02Rik,0.108024736391101,0.722759332697916,1
2010315B03Rik,-0.0356343403236509,0.884407621197895,1
2200002D01Rik,0.539900724711406,0.423020966362961,1
2210013O21Rik,0.296076852233252,0.0451275437582876,1
2210016F16Rik,0.11658602467304,0.478310509153027,1
2210016L21Rik,0.148012922716903,0.215086080665085,1
2210404O09Rik,0.328074924988609,0.244880857367215,1
2210408I21Rik,-0.0152995393748845,0.950886269644352,1
2210418O10Rik,-0.114348905662752,0.516262986328558,1
2300002M23Rik,0.282129882407618,0.612757897215196,1
2300009A05Rik,-0.05769689739595,0.804056638820828,1
2310002L09Rik,-0.0536139708849071,0.912341431493857,1
2310007B03Rik,1.12433542272754,0.0221887209048244,1
2310009B15Rik,0.306301709701901,0.237981748745232,1
2310011J03Rik,0.056559873650576,0.690506276010035,1
2310022A10Rik,0.018438268871322,0.893947998279058,1
2310022B05Rik,0.137698890337972,0.287501198883545,1
2310030G06Rik,0.331499455279803,0.343628551058256,1
2310033P09Rik,0.109207807025893,0.470395116937298,1
2310035C23Rik,-0.0297225185170002,0.78367142463501,1
2310036O22Rik,0.145016968370654,0.30366912556859,1
2310039H08Rik,0.347902535467272,0.0803381551218542,1
2310057M21Rik,0.0132895238513123,0.938817113329272,1
2310061I04Rik,0.0307162664655541,0.875763233944613,1
2410002F23Rik,-0.0059499518363813,0.966380408168606,1
2410004B18Rik,-0.113694032116593,0.5028213054457,1
2410004P03Rik,0.280210221917917,0.59618398260786,1
2410015M20Rik,0.182307435015447,0.229711322285291,1
2410016O06Rik,0.179082531577204,0.350215078143494,1
2410089E03Rik,-0.33930511605798,0.00312209676531394,1
2410131K14Rik,-0.103233575164937,0.485542801594478,1
2510002D24Rik,0.147733466044496,0.481216172080771,1
2510009E07Rik,-0.164229238985165,0.431044167948501,1
2510039O18Rik,-0.0374765749204069,0.761427701234031,1
2610001J05Rik,0.164579506618514,0.208643639412946,1
2610002M06Rik,-0.00236987161651051,0.985790366400497,1
2610008E11Rik,0.00114736784780002,0.992590083155874,1
2610020H08Rik,-0.43047780224249,0.0570309268546976,1
2610021A01Rik,-0.161007574972124,0.306896229935535,1
2610042L04Rik,0.429157118536436,0.355497005840664,1
2610044O15Rik8,-0.0174328487281059,0.9046518293164,1
2610301B20Rik,-0.0813776223111305,0.530925277547271,1
2610305D13Rik,-0.0164341688044319,0.964140381822232,1
2610318N02Rik,0.0110896079230183,0.957325787194749,1
2610507B11Rik,-0.120570381809329,0.286646307659758,1
2610524H06Rik,0.106656763867495,0.568429543891036,1
2610528J11Rik,0.0600184586449894,0.927481146134587,1
2700029M09Rik,0.153782735070028,0.301573135638995,1
2700049A03Rik,-0.0792889414366828,0.56119577267986,1
